Entrez ID	Type
11078	inferred
11077	inferred
11079	best inferred
151011	best inferred
11041	landmark
644257	not inferred
11040	best inferred
11043	best inferred
165679	not inferred
23023	best inferred
441525	not inferred
23024	best inferred
114049	best inferred
23025	best inferred
23026	best inferred
441521	not inferred
23028	best inferred
23029	landmark
201973	not inferred
85319	not inferred
85317	not inferred
85318	not inferred
85315	not inferred
23020	best inferred
85316	not inferred
85313	not inferred
23022	best inferred
11045	best inferred
11044	landmark
11047	best inferred
11046	best inferred
644249	not inferred
138065	not inferred
343173	not inferred
153682	not inferred
343172	not inferred
343171	not inferred
441519	not inferred
11052	best inferred
441518	not inferred
11051	inferred
11054	best inferred
23034	best inferred
23035	best inferred
23036	best inferred
23037	best inferred
23038	landmark
23039	landmark
23030	best inferred
114044	inferred
23031	best inferred
23032	best inferred
85302	not inferred
126017	best inferred
23033	best inferred
11056	best inferred
85300	not inferred
11055	inferred
85301	not inferred
343169	not inferred
11057	best inferred
11059	best inferred
403274	not inferred
403277	not inferred
403278	not inferred
11021	best inferred
11020	best inferred
23001	best inferred
26996	not inferred
23002	best inferred
26994	best inferred
26995	not inferred
23005	best inferred
23007	best inferred
26998	inferred
23008	best inferred
26999	best inferred
403273	not inferred
26993	landmark
11023	not inferred
11022	best inferred
84000	not inferred
11025	best inferred
11024	inferred
84002	not inferred
11027	best inferred
11026	best inferred
11030	best inferred
138009	not inferred
11031	landmark
23012	best inferred
23013	landmark
23014	landmark
23015	best inferred
23016	best inferred
23017	best inferred
23019	best inferred
85329	not inferred
23011	landmark
11034	best inferred
11033	best inferred
11036	not inferred
85320	not inferred
11035	not inferred
11037	best inferred
139341	not inferred
403253	not inferred
126070	best inferred
166968	not inferred
403257	not inferred
26974	not inferred
59067	inferred
153657	not inferred
26973	best inferred
165631	not inferred
126075	not inferred
126074	not inferred
11009	best inferred
85359	inferred
85358	not inferred
11001	best inferred
11000	landmark
11005	best inferred
11004	landmark
85352	best inferred
11007	landmark
11006	best inferred
127391	not inferred
403244	not inferred
153642	not inferred
11010	best inferred
153643	not inferred
26985	not inferred
26986	best inferred
126069	not inferred
126068	not inferred
26984	best inferred
127396	not inferred
619208	not inferred
11019	best inferred
114088	best inferred
11012	best inferred
11011	landmark
403239	not inferred
11014	landmark
11013	inferred
11016	inferred
11015	best inferred
11018	best inferred
11017	best inferred
63901	best inferred
163081	not inferred
345778	not inferred
105371242	not inferred
729873	not inferred
285600	not inferred
285601	not inferred
63910	best inferred
222008	not inferred
285605	not inferred
164395	not inferred
729877	not inferred
63905	not inferred
63904	inferred
163071	not inferred
259308	not inferred
63906	best inferred
259307	not inferred
63908	not inferred
646817	not inferred
50604	not inferred
285613	not inferred
63920	best inferred
63923	best inferred
63922	not inferred
728577	not inferred
63925	best inferred
63924	best inferred
63916	best inferred
63915	not inferred
63917	best inferred
345757	not inferred
50613	inferred
104909134	not inferred
50615	best inferred
50614	not inferred
50617	inferred
50616	inferred
50619	best inferred
50618	best inferred
63932	best inferred
63931	best inferred
63934	best inferred
63933	landmark
63935	best inferred
163087	not inferred
728568	not inferred
3704	best inferred
3705	best inferred
63926	best inferred
3706	best inferred
63929	best inferred
3707	best inferred
63928	best inferred
3708	best inferred
3709	best inferred
646836	not inferred
105371253	not inferred
105372585	not inferred
3700	inferred
50624	inferred
3702	best inferred
50626	best inferred
3703	best inferred
50628	best inferred
151050	best inferred
646851	not inferred
23089	best inferred
63941	best inferred
63940	best inferred
63943	best inferred
163033	not inferred
258010	not inferred
63947	not inferred
63946	not inferred
23081	best inferred
3716	best inferred
23082	best inferred
100272228	best inferred
3717	best inferred
3718	best inferred
63939	not inferred
23085	best inferred
23086	best inferred
23087	not inferred
3710	best inferred
50632	best inferred
3712	best inferred
3713	best inferred
3714	best inferred
23080	best inferred
50636	not inferred
729830	not inferred
646865	not inferred
63950	not inferred
646862	not inferred
63951	not inferred
3726	best inferred
23092	best inferred
3727	best inferred
23093	best inferred
63948	not inferred
3728	best inferred
23094	best inferred
23095	best inferred
23096	best inferred
23097	landmark
23098	not inferred
50640	not inferred
23099	best inferred
3720	best inferred
151056	not inferred
23090	best inferred
3725	landmark
23091	best inferred
11081	best inferred
11080	best inferred
50649	best inferred
11083	best inferred
11082	best inferred
11085	best inferred
11086	inferred
23067	best inferred
163059	not inferred
63967	inferred
3737	inferred
3738	inferred
23060	best inferred
3739	inferred
23061	landmark
23062	best inferred
23063	best inferred
23064	best inferred
23065	best inferred
50651	not inferred
23066	best inferred
50650	best inferred
3730	best inferred
3732	best inferred
3735	best inferred
3736	best inferred
11092	best inferred
11091	not inferred
11094	best inferred
729852	not inferred
11093	inferred
11096	best inferred
63970	best inferred
11095	best inferred
11098	landmark
3750	best inferred
11097	best inferred
63971	inferred
23078	best inferred
63974	best inferred
63973	inferred
163049	not inferred
729857	not inferred
63976	inferred
222068	not inferred
63978	inferred
63977	not inferred
63979	not inferred
3748	inferred
23070	best inferred
163051	not inferred
3749	best inferred
23071	best inferred
23072	inferred
163050	not inferred
23074	best inferred
23075	best inferred
23076	landmark
23077	landmark
3741	best inferred
11099	best inferred
3742	not inferred
644215	not inferred
3743	not inferred
3744	inferred
3745	best inferred
3746	best inferred
3747	inferred
285671	not inferred
107985108	not inferred
285672	best inferred
100130976	not inferred
3760	best inferred
285676	not inferred
107985109	not inferred
3761	best inferred
285679	not inferred
107985103	not inferred
3759	best inferred
284339	not inferred
284338	not inferred
284336	not inferred
3751	best inferred
3752	best inferred
100128651	not inferred
3753	inferred
3754	inferred
548313	not inferred
3755	best inferred
3756	inferred
3757	best inferred
3758	inferred
100130967	not inferred
3770	inferred
105373926	not inferred
3772	best inferred
1107	best inferred
1106	inferred
1105	best inferred
1104	best inferred
1103	inferred
1102	best inferred
1101	best inferred
284325	best inferred
3762	inferred
3763	best inferred
284323	not inferred
100128640	best inferred
3764	best inferred
100129974	not inferred
3765	best inferred
3766	best inferred
3767	not inferred
1109	inferred
3768	best inferred
285690	not inferred
1108	best inferred
3769	not inferred
100129969	not inferred
100130958	inferred
3780	best inferred
3781	best inferred
3782	best inferred
3783	best inferred
1121	best inferred
107985121	not inferred
107986453	not inferred
1120	best inferred
1118	inferred
1117	best inferred
1116	best inferred
1114	best inferred
1113	best inferred
2444	best inferred
1112	best inferred
1111	landmark
3773	best inferred
284312	not inferred
3775	landmark
3776	best inferred
3777	best inferred
3778	best inferred
3779	best inferred
105371303	not inferred
1119	best inferred
105373944	not inferred
3790	best inferred
107985117	not inferred
3791	best inferred
3792	inferred
1132	inferred
1131	inferred
107985111	not inferred
1130	best inferred
107985115	not inferred
1129	inferred
1128	not inferred
284309	not inferred
284307	not inferred
284306	not inferred
1124	best inferred
1123	landmark
1122	best inferred
3784	best inferred
3785	best inferred
3786	inferred
3787	inferred
3788	not inferred
105373951	not inferred
284382	not inferred
107985149	not inferred
728597	not inferred
100130933	not inferred
728591	not inferred
1143	inferred
1142	inferred
1141	inferred
285636	not inferred
1140	best inferred
1139	not inferred
1138	inferred
1137	inferred
1136	inferred
1135	inferred
1134	inferred
1133	inferred
3795	best inferred
3796	best inferred
3797	best inferred
3798	best inferred
100129940	not inferred
3799	best inferred
100130927	not inferred
105373985	not inferred
284371	not inferred
284370	not inferred
728586	not inferred
285641	not inferred
100130920	not inferred
285643	not inferred
1154	best inferred
1153	landmark
1152	best inferred
2483	best inferred
728588	not inferred
1149	best inferred
1147	best inferred
1146	inferred
1145	inferred
1144	inferred
2475	best inferred
284369	not inferred
284366	not inferred
50802	not inferred
50801	not inferred
284361	not inferred
50804	inferred
100129924	not inferred
50805	best inferred
50808	not inferred
50807	best inferred
50809	best inferred
1164	best inferred
2495	best inferred
1163	best inferred
2494	best inferred
285659	not inferred
1161	best inferred
2492	inferred
1160	best inferred
2491	best inferred
107986499	not inferred
1159	not inferred
1158	inferred
2488	inferred
2487	best inferred
284359	not inferred
1155	best inferred
284358	not inferred
550643	not inferred
284355	not inferred
284353	not inferred
100093698	inferred
50810	landmark
284352	best inferred
50813	landmark
105371346	not inferred
50814	landmark
105373989	not inferred
1176	best inferred
1175	best inferred
285668	not inferred
1174	best inferred
1173	best inferred
284349	not inferred
284348	not inferred
550631	not inferred
284346	not inferred
284340	not inferred
23207	best inferred
23208	best inferred
23209	best inferred
283093	not inferred
283092	not inferred
130951	not inferred
1187	not inferred
25862	best inferred
1186	best inferred
23200	landmark
25861	best inferred
1185	best inferred
23201	best inferred
25864	best inferred
1184	best inferred
1183	best inferred
23203	best inferred
1182	best inferred
23204	best inferred
25865	best inferred
1181	best inferred
23205	best inferred
1180	inferred
11228	best inferred
1179	inferred
1178	inferred
11221	best inferred
84166	not inferred
11223	not inferred
84168	best inferred
11222	best inferred
84167	not inferred
84162	best inferred
11224	best inferred
11227	not inferred
84164	best inferred
11226	best inferred
84163	not inferred
23218	best inferred
402096	not inferred
23219	best inferred
85480	not inferred
283080	not inferred
11230	landmark
1198	best inferred
23210	landmark
25873	best inferred
23211	best inferred
1196	best inferred
23212	landmark
25875	best inferred
1195	not inferred
23213	best inferred
25874	landmark
23214	best inferred
1193	best inferred
23215	best inferred
25876	inferred
1192	best inferred
23216	best inferred
25879	inferred
1191	best inferred
23217	best inferred
25878	best inferred
84159	landmark
25871	not inferred
1188	inferred
25870	not inferred
142940	not inferred
11232	landmark
11231	best inferred
84154	not inferred
11234	best inferred
283078	not inferred
11236	best inferred
11235	best inferred
11238	best inferred
84153	not inferred
85481	not inferred
283075	not inferred
11237	best inferred
84152	not inferred
166929	not inferred
25847	best inferred
84182	not inferred
25849	best inferred
84181	not inferred
128611	not inferred
25840	best inferred
25842	best inferred
25841	best inferred
25844	best inferred
25843	inferred
84188	not inferred
84187	best inferred
128602	not inferred
11201	best inferred
11200	landmark
84189	not inferred
11202	inferred
84186	not inferred
25859	best inferred
25858	inferred
84171	not inferred
284391	not inferred
284390	not inferred
25851	not inferred
25850	inferred
25853	not inferred
25852	best inferred
25855	best inferred
25854	best inferred
440387	inferred
11218	not inferred
11217	not inferred
11219	best inferred
139324	not inferred
11212	best inferred
84179	best inferred
139322	best inferred
11211	best inferred
11214	best inferred
84173	not inferred
11213	best inferred
84172	inferred
11216	best inferred
11215	best inferred
84174	not inferred
284383	not inferred
25825	landmark
25828	best inferred
25827	best inferred
128674	not inferred
25829	best inferred
441669	not inferred
114026	not inferred
126014	not inferred
25820	best inferred
440335	not inferred
127343	not inferred
25822	best inferred
25821	best inferred
25824	not inferred
25823	inferred
115361	not inferred
441670	not inferred
115362	not inferred
130916	best inferred
114034	best inferred
126006	not inferred
414059	not inferred
100128697	not inferred
100128691	not inferred
25837	best inferred
84191	not inferred
25836	best inferred
84190	not inferred
25839	landmark
84193	best inferred
126003	not inferred
25831	not inferred
25830	best inferred
25833	inferred
25832	not inferred
25834	best inferred
100861412	not inferred
115350	not inferred
414061	not inferred
115352	not inferred
414062	not inferred
115353	best inferred
414060	not inferred
84197	not inferred
84196	best inferred
25804	best inferred
25803	landmark
25806	inferred
25805	landmark
200726	not inferred
25807	best inferred
128653	not inferred
200728	not inferred
25809	best inferred
25800	best inferred
25802	best inferred
25801	best inferred
440352	best inferred
154907	not inferred
142910	not inferred
128646	not inferred
25814	best inferred
25817	not inferred
25816	best inferred
100130988	not inferred
25819	best inferred
25818	inferred
130940	not inferred
100128668	not inferred
440348	not inferred
200734	landmark
440345	not inferred
25813	best inferred
115330	not inferred
128637	not inferred
11180	best inferred
154881	best inferred
11182	landmark
11181	inferred
11184	best inferred
392133	not inferred
11183	best inferred
11186	best inferred
11185	not inferred
23166	best inferred
23167	best inferred
23168	best inferred
23169	best inferred
166863	not inferred
392138	not inferred
729920	not inferred
165530	not inferred
85409	not inferred
127262	not inferred
142891	not inferred
23160	best inferred
85416	not inferred
23161	landmark
85417	not inferred
115286	not inferred
23162	best inferred
85414	not inferred
23163	best inferred
85415	not inferred
23164	best inferred
23165	best inferred
85413	not inferred
11188	landmark
11187	best inferred
11189	best inferred
646767	not inferred
10	inferred
11191	best inferred
12	inferred
11190	best inferred
403341	not inferred
404672	best inferred
13	best inferred
11193	best inferred
14	best inferred
154872	not inferred
15	inferred
16	landmark
11194	inferred
11197	best inferred
18	best inferred
11196	best inferred
19	best inferred
23177	best inferred
23178	best inferred
23179	best inferred
127255	not inferred
127254	not inferred
127253	not inferred
85407	not inferred
23170	best inferred
115273	not inferred
23171	best inferred
23172	best inferred
85406	not inferred
23173	best inferred
85403	not inferred
23174	best inferred
23175	best inferred
23176	best inferred
11199	best inferred
11198	best inferred
403339	not inferred
20	best inferred
21	best inferred
22	best inferred
153571	not inferred
23	landmark
153572	not inferred
24	inferred
11160	best inferred
25	landmark
26	inferred
11162	best inferred
646799	not inferred
27	inferred
11161	best inferred
28	inferred
11164	not inferred
29	best inferred
11163	best inferred
23144	best inferred
127247	not inferred
153579	not inferred
23145	not inferred
200765	not inferred
23148	best inferred
23149	landmark
84108	not inferred
84107	inferred
85438	not inferred
84109	not inferred
85439	not inferred
23140	best inferred
